,title,view,channel,uploadtime,length,link,subscriber,like,dislike
101,Conan Shares Coronavirus Tips With His Staff - CONAN on TBS,2.7M views,Team Coco,4 days ago,6:56,https://www.youtube.com/watch?v=JJIsmDhzoD0,7.76M,"73,149","3,332"
102,Tracing The Origin Of The Coronavirus | NBC News NOW,378K views,NBC News,3 days ago,5:28,https://www.youtube.com/watch?v=mNB8zN5CQGc,2.02M,"4,049",429
103,Trump: Coronavirus is a world problem and we need separation,389K views,Fox News,2 days ago,25:34,https://www.youtube.com/watch?v=O8qC6YLsg7g,4.49M,"7,257",424
104,Treasury likely to push back tax deadline due to coronavirus,222K views,CBS News,3 days ago,3:05,https://www.youtube.com/watch?v=0d0AziuNgi8,2.4M,"1,111",241
105,Mark Cuban on coronavirus: This is much bigger than basketball | NBA on ESPN,424K views,ESPN,3 days ago,6:23,https://www.youtube.com/watch?v=vUB5DST4z-E,6.79M,"5,123",147
106,Coronavirus outbreak: Donald Trump suspends travel from Europe to U.S. starting Friday,331K views,Global News,Streamed 3 days ago,9:40,https://www.youtube.com/watch?v=X7KCyRxOoJw,1.25M,"3,701",744
107,"MLB expected to suspend operations in response to spread of coronavirus, reports say | CBS Sports HQ",25K views,CBS Sports,2 days ago,8:23,https://www.youtube.com/watch?v=7--SN2tWkTU,242K,143,29
108,Watch live: World Health Organization gives coronavirus update,128K views,CBS News,Streamed 3 days ago,33:33,https://www.youtube.com/watch?v=oQWRNrV3L-w,2.4M,731,124
109,WATCH LIVE: Trump addresses the nation amid coronavirus pandemic,340K views,PBS NewsHour,Streamed 3 days ago,57:32,https://www.youtube.com/watch?v=q3a8lEbj7f8,1.68M,"1,792",559
110,Novel Coronavirus explained l ABC News,455K views,ABC News,4 days ago,2:46,https://www.youtube.com/watch?v=CXOsVXybVJY,7.93M,"2,894",363
111,Porter Presses CDC Director To Confirm Coronavirus Testing Will Be Free | NBC News,208K views,NBC News,2 days ago,3:04,https://www.youtube.com/watch?v=mKvCAR0Akro,2.02M,"4,287",129
112,What is the level of concern with coronavirus around the NBA? | Get Up,174K views,ESPN,2 days ago,7:09,https://www.youtube.com/watch?v=3Jpwq7SpQxI,6.79M,"1,323",57
113,What Is Coronavirus (COVID-19)?,624K views,Johns Hopkins Medicine,3 weeks ago,4:31,https://www.youtube.com/watch?v=sHP0UIdZyI4,157K,"3,938",377
114,"Coronavirus Epidemic Update 33: COVID-19 Medication Treatment Trials, Global Testing Remains Limited",419K views,MedCram - Medical Lectures Explained CLEARLY,5 days ago,8:10,https://www.youtube.com/watch?v=Mm7UrZeu-74,602K,"8,910",199
115,Coronavirus: Is the UK on the same path as Italy?,391K views,Sky News,4 days ago,2:20,https://www.youtube.com/watch?v=fzbkY9s4Y6s,1.89M,"2,814",225
116,Coronavirus: Virus cases rise rapidly in Europe and US - BBC News,1.2M views,BBC News,3 days ago,8:30,https://www.youtube.com/watch?v=DoHOYCbmJoE,6.6M,"8,645",748
117,"Coronavirus Fears Cause Lines, Product Shortages At Costco",65K views,CBS Los Angeles,2 days ago,2:39,https://www.youtube.com/watch?v=UrniPVY8t5c,420K,395,39
118,Coronavirus outbreak: U.S. House Homeland Subcommittee hearing on federal response | FULL,140K views,Global News,Streamed 3 days ago,2:34:38,https://www.youtube.com/watch?v=HcPAfj38gk4,1.25M,"1,006",236
119,Biden Lays Out His Plan For Coronavirus  | NBC News NOW,37K views,NBC News,2 days ago,10:56,https://www.youtube.com/watch?v=mhp-px3tv6E,2.02M,178,361
120,Coronavirus Disrupts Daily Life As Trump Fails To Calm A Nation On Edge | The 11th Hour | MSNBC,386K views,MSNBC,1 day ago,6:20,https://www.youtube.com/watch?v=i0K4PIVe92I,2.45M,"4,241",430
121,"WATCH LIVE: NIH, CDC testify before House committee on coronavirus response (day two)",83K views,Washington Post,Streamed 2 days ago,1:50:31,https://www.youtube.com/watch?v=R0jm6sKX-dY,1M,656,91
122,Watch again: Boris Johnson makes coronavirus announcement after COBRA meeting,492K views,The Telegraph,Streamed 2 days ago,45:51,https://www.youtube.com/watch?v=A0chs7bVQ8Y,943K,"3,529","2,065"
123,"COVID-19 (Coronavirus Disease 19) - causes, symptoms, diagnosis, treatment, pathology",1.4M views,Osmosis,1 month ago,12:21,https://www.youtube.com/watch?v=eup3_i_5uaw,1.42M,"22,619",698
124,"Trump Hasn't Been Tested For Coronavirus Despite Possible Exposure, And Refuses To Take Precautio…",2.3M views,The Late Show with Stephen Colbert,4 days ago,12:10,https://www.youtube.com/watch?v=YgkNuoozmis,7.26M,"33,959","1,359"
125,Coronavirus Explained: What does pandemic declaration mean for the world?,167K views,Channel 4 News,3 days ago,6:44,https://www.youtube.com/watch?v=XJV3X8zM1bU,1.17M,"1,726",153
126,Coronavirus outbreak: How many people can possibly get COVID-19?,76K views,Global News,3 days ago,2:46,https://www.youtube.com/watch?v=J-Z8f0xoirc,1.25M,664,48
127,CA Gov. Newsom provides updates on coronavirus,54K views,KTLA 5,Streamed 2 days ago,1:07:45,https://www.youtube.com/watch?v=MBRmQB5bPZI,161K,325,76
128,World Health Organization declares coronavirus a pandemic | ABC News,200K views,ABC News,3 days ago,2:47,https://www.youtube.com/watch?v=9mT0zFR9us8,7.93M,"1,923",274
129,Coronavirus: Italy in lockdown - BBC News,1M views,BBC News,4 days ago,18:20,https://www.youtube.com/watch?v=_69sOxWU0jo,6.6M,"6,987",496
130,"Coronavirus outbreak: We are not nearly as prepared as we need to be, officials say",18K views,Global News,1 day ago,12:08,https://www.youtube.com/watch?v=PUp2vZ_3wgY,1.25M,208,62
131,"Global National: March 10, 2020 | Coronavirus cases surging globally, is Canada ready for worse?",57K views,Global News,4 days ago,22:16,https://www.youtube.com/watch?v=O7B_mwZyH2Y,1.25M,596,46
132,What China's Pollution Says About Coronavirus and the Economy | WSJ,450K views,Wall Street Journal,3 days ago,4:31,https://www.youtube.com/watch?v=cHSftdHskxs,2.03M,"7,431",306
133,Coronavirus containment zone implemented in New York,85K views,CBS This Morning,3 days ago,2:20,https://www.youtube.com/watch?v=iULdVyQ6Bys,1.24M,403,36
134,Novel coronavirus (2019-nCoV),2.7M views,World Health Organization (WHO),1 month ago,4:49,https://www.youtube.com/watch?v=mOV1aBVYKGA,209K,"12,905",689
135,The Jazz are waiting for coronavirus test results before they can leave OKC | Get Up,106K views,ESPN,2 days ago,6:07,https://www.youtube.com/watch?v=OR74I-NKvpQ,6.79M,"1,101",26
136,Coronavirus: Inside Italy After Country Put On Nationwide Lockdown | NBC Nightly News,260K views,NBC News,4 days ago,1:39,https://www.youtube.com/watch?v=Jt2pZWOmi80,2.02M,"1,112",219
137,"Global National: March 11, 2020 | WHO declares coronavirus a global pandemic",229K views,Global News,3 days ago,22:15,https://www.youtube.com/watch?v=XcARC2mrmcQ,1.25M,"1,107",122
138,The 5 Stages of Coronavirus,2M views,Jimmy Kimmel Live,2 days ago,11:37,https://www.youtube.com/watch?v=mD97kJVCOXM,16.4M,"32,063","1,907"
139,Coronavirus: Cruise ship Grand Princess docks in California - BBC News,318K views,BBC News,3 days ago,17:40,https://www.youtube.com/watch?v=7S-1QRRWj10,6.6M,"2,139",307
140,Merkel: Most people in Germany likely to contract Coronavirus | DW News,298K views,DW News,3 days ago,15:42,https://www.youtube.com/watch?v=6CGi41nB3tA,1.08M,"3,092",226
141,Experts Hope Herd Immunity ‘Flattens’ The Coronavirus Curve | NBC News NOW,262K views,NBC News,3 days ago,15:15,https://www.youtube.com/watch?v=f2aDEPZbLEI,2.02M,"1,997",244
