,title,view,channel,uploadtime,length,link,subscriber,like,dislike
108,Trump Keeps Lying About the Coronavirus Outbreak: A Closer Look,2.4M views,Late Night with Seth Meyers,5 days ago,9:22,https://www.youtube.com/watch?v=JiqFnKXf3do,3.49M,"37,943","2,096"
109,Chris Hayes: Trump Is Trying To BS His Way Through The Coronavirus Outbreak | All In | MSNBC,1M views,MSNBC,4 days ago,11:16,https://www.youtube.com/watch?v=Ow5bhEi6EdY,2.42M,"19,107","2,195"
110,Coronavirus: Countries need to 'help each other' as deaths increase - BBC Newsnight,49K views,BBC Newsnight,5 days ago,7:50,https://www.youtube.com/watch?v=yNxAmRAYagQ,519K,467,109
111,Dr. Oz’s coronavirus survival guide,42K views,Fox Business,1 day ago,8:15,https://www.youtube.com/watch?v=yYs-82Y-644,888K,912,78
112,How to stop the spread of coronavirus,270K views,Guardian News,6 days ago,4:31,https://www.youtube.com/watch?v=3jpXAMwRSu4,843K,"1,393",94
113,"213 dead, 9,692 cases of coronavirus confirmed in China",1.5M views,ARIRANG NEWS,1 month ago,3:03,https://www.youtube.com/watch?v=0YOVPIQuvAw,276K,"9,012",560
114,Coronavirus: what we know so far about the outbreak spreading in China and abroad,2.6M views,South China Morning Post,1 month ago,5:27,https://www.youtube.com/watch?v=Zru5REL9ANg,923K,"16,030","1,230"
115,"Coronavirus Epidemic Update 32: Important Data from South Korea, Can Zinc Help Prevent COVID-19?",502K views,MedCram - Medical Lectures Explained CLEARLY,4 days ago,19:58,https://www.youtube.com/watch?v=Eeh054-Hx1U,577K,"11,386",274
116,Experts confirm coronavirus 'outbreak' has started in the UK as fears grow a second victim has died,67K views,The Sun,4 days ago,2:37,https://www.youtube.com/watch?v=FuL6WyJV79s,673K,426,85
117,Q&A How to protect yourself when travelling during the coronavirus (COVID-2019) outbreak.,386K views,World Health Organization (WHO),3 weeks ago,22:45,https://www.youtube.com/watch?v=0KBvReECRrI,183K,901,294
118,What happens to your body when you get coronavirus,1.2M views,The Telegraph,6 days ago,2:06,https://www.youtube.com/watch?v=2bI5pQGXl2o,929K,"12,114",685
119,Coronavirus: Cruise Ship Held Off California Coast After Passenger Dies | TODAY,233K views,TODAY,5 days ago,5:07,https://www.youtube.com/watch?v=Cz0bTuYT93Y,1.77M,"1,638",108
120,Coronavirus outbreak: Mother of sick daughter from virus-hit region pleads for help,3.9M views,Global News,1 month ago,3:44,https://www.youtube.com/watch?v=NytLE5ECa8M,1.21M,"27,830","1,806"
121,New Cases Of Coronavirus Across U.S. Causes Criticism Of Trump's Response To Grow | NBC Nightly News,729K views,NBC News,4 days ago,16:03,https://www.youtube.com/watch?v=ODNtD86cRso,1.96M,"4,857",654
122,China coronavirus 'spreads before symptoms show' - BBC News,2.5M views,BBC News,1 month ago,4:02,https://www.youtube.com/watch?v=0jAWPcyPFQc,6.54M,"22,050","1,098"
123,"Coronavirus COVID-19 Symptoms, Causes, Prevention Nursing Review",215K views,RegisteredNurseRN,1 week ago,12:22,https://www.youtube.com/watch?v=ALRLihS19kQ,851K,,
124,Coronavirus outbreak: U.S. Senate Homeland Security committee hearing on COVID-19 containment | FULL,211K views,Global News,Streamed 5 days ago,2:07:51,https://www.youtube.com/watch?v=Vpi-cYuWMlE,1.21M,"1,530",286
125,State Of Emergency In Los Angeles County Over Coronavirus Outbreak | NBC Nightly News,2.1M views,NBC News,6 days ago,8:35,https://www.youtube.com/watch?v=FYpl_5cWWfU,1.96M,"15,969","2,088"
126,Coronavirus in China: The fight against the outbreak,2M views,CBC News: The National,1 month ago,2:52,https://www.youtube.com/watch?v=V0qxJzv3ssc,661K,"7,122",728
127,Who will save the world from a coronavirus recession? | Counting the Cost,194K views,Al Jazeera English,2 days ago,25:41,https://www.youtube.com/watch?v=OOXf4ni7K7E,4.69M,"1,046",92
128,Coronavirus: Death toll rises as virus spreads to every Chinese region - BBC News,3.6M views,BBC News,1 month ago,10:12,https://www.youtube.com/watch?v=6vHEJL-RVMk,6.54M,"28,047","1,961"
129,"With the coronavirus, 'pay attention to the basics'",46K views,PBS NewsHour,2 days ago,14:05,https://www.youtube.com/watch?v=1BSwS9Rmhys,1.67M,626,39
130,The fallout from the new coronavirus now spreading coast to coast | WNT,462K views,ABC News,4 days ago,3:28,https://www.youtube.com/watch?v=xoXjJd2Ae18,7.87M,"4,687",268
131,क्या Chicken खाने से हो सकता है कोरोना वायरस? | Coronavirus China in Hindi | Coronavirus India News,1.1M views,Adda247,Streamed 4 weeks ago,13:52,https://www.youtube.com/watch?v=mjkjP51tznk,3.54M,"18,630","2,120"
132,Britain hit by surge in coronavirus cases,1M views,Sky News,6 days ago,3:19,https://www.youtube.com/watch?v=4DdNwX9n7dw,1.87M,"5,914",528
133,Coronavirus Explained: What happens next? - BBC News,378K views,BBC News,4 days ago,9:59,https://www.youtube.com/watch?v=Mj81jKkQMOg,6.54M,"3,701","1,107"
134,Coronavirus death toll climbs in US l ABC News,513K views,ABC News,6 days ago,2:46,https://www.youtube.com/watch?v=8uybFoGCzOo,7.87M,"4,368",594
135,Coronavirus outbreak: Canadian WHO doctor returns from China with critical COVID-19 lessons,340K views,Global News,5 days ago,11:47,https://www.youtube.com/watch?v=XUI6DIswmFk,1.21M,"3,953",412
136,Scaramucci takes 'defensive position' as coronavirus outbreak affects economy,245K views,CNN,6 days ago,10:11,https://www.youtube.com/watch?v=wQrGiDQXbrk,8.72M,"2,330",340
137,Spike in coronavirus cases and fatalities around the world,828K views,ABC News,1 week ago,3:46,https://www.youtube.com/watch?v=eVmQDR4vKRM,7.87M,"7,905",888
138,Coronavirus: Answering 4 of the most 'Googled' questions | USA TODAY,236K views,USA TODAY,1 day ago,3:12,https://www.youtube.com/watch?v=jK5NVWfFBO8,1.36M,"1,363",356
139,Coronavirus explained,275K views,CNET,1 week ago,6:03,https://www.youtube.com/watch?v=hZDX08RcPmg,2.54M,"3,508",353
140,Trump Is Not Telling The Truth About The Coronavirus | The 11th Hour | MSNBC,338K views,MSNBC,4 days ago,5:37,https://www.youtube.com/watch?v=HbVjOmDAILg,2.42M,"2,835","2,262"
141,Neil deGrasse Tyson On Coronavirus: Will People Listen To Science?,2.2M views,The Late Show with Stephen Colbert,3 days ago,10:55,https://www.youtube.com/watch?v=jB4FUHHMI24,7.24M,"49,580","2,386"
142,Coronavirus: Italy to close all schools as deaths rise - BBC News,1.1M views,BBC News,5 days ago,12:13,https://www.youtube.com/watch?v=PGjeMDpIf8M,6.54M,"9,350",697
143,"Full Fauci: For Coronavirus And Crowds, 'If You're A Vulnerable Person, Take It Seriously'",214K views,NBC News,2 days ago,7:51,https://www.youtube.com/watch?v=KvhvZS1rUCQ,1.96M,"1,966",168
144,"Coronavirus: en Argentina ya hay 17 infectados, Italia en total cuarentena",63K views,LA NACION,1 day ago,15:25,https://www.youtube.com/watch?v=qlVyKg5s2Tk,306K,555,71
145,"Dr. Fauci sets the record straight on coronavirus testing, prevention",227K views,Fox News,2 days ago,10:00,https://www.youtube.com/watch?v=xvW17dSuX5Q,4.45M,"4,005",483
146,How Coronavirus Kills: Acute Respiratory Distress Syndrome (ARDS) & Treatment,2.1M views,MedCram - Medical Lectures Explained CLEARLY,1 month ago,11:05,https://www.youtube.com/watch?v=okg7uq_HrhQ,577K,"36,660","1,093"
147,"Coronavirus: Can China contain outbreak that has infected 2,700 people?",1.4M views,Channel 4 News,1 month ago,11:08,https://www.youtube.com/watch?v=2rUyz8MXorU,1.14M,"9,874",698
148,"Is the coronavirus outbreak in Wuhan, China under control? | ITV News",221K views,ITV News,6 days ago,2:14,https://www.youtube.com/watch?v=TY4El-CEHQs,434K,"1,096",204
149,Why It's Not A Time For Trump's Hunches On Coronavirus | Morning Joe | MSNBC,503K views,MSNBC,5 days ago,8:56,https://www.youtube.com/watch?v=JQjqxO7N08I,2.42M,"5,847",810
150,Coronavirus may have originated from Wuhan market,2.2M views,CBS News,1 month ago,6:58,https://www.youtube.com/watch?v=-JFC81JEoIw,2.39M,"8,897","1,358"
151,China Is Censoring Coronavirus Stories. These Citizens Are Fighting Back. | NYT News,1.2M views,The New York Times,2 weeks ago,4:09,https://www.youtube.com/watch?v=m5fsidSOJMw,2.54M,"24,312","1,347"
