,title,view,channel,uploadtime,length,link,subscriber,like,dislike,clean_text
150,Coronavirus to infect 70% of humanity and become new seasonal disease: Expert,414000,ARIRANG NEWS,168,144,https://www.youtube.com/watch?v=cHv0-oyowrk,276000,3129,335,coronavirus infect humanity become new seasonal disease expert
151,Nurses battle against coronavirus outbreak in China,1100000,South China Morning Post,720,127,https://www.youtube.com/watch?v=IvC3e5a1wzo,920000,6427,374,nurse battle coronavirus outbreak china
152,Coronavirus v Influenza: How do the two viruses compare? - BBC News,290000,BBC News,144,272,https://www.youtube.com/watch?v=3AgxeIVrH24,6530000,2684,270,coronavirus v influenza two virus compare bbc news
153,Coronavirus on every continent except Antarctica | DW News,350000,DW News,168,488,https://www.youtube.com/watch?v=8mWxH6Bu52I,1060000,3771,286,coronavirus every continent except antarctica dw news
154,"Coronavirus: the symptoms, the risks and how to avoid being infected",355000,Channel 4 News,336,490,https://www.youtube.com/watch?v=YU5yJI9cWD0,1130000,2640,927,coronavirus symptom risk avoid infected
155,Coronavirus whistleblower doctor is online hero in China,2000000,CNN,720,177,https://www.youtube.com/watch?v=eEUqCxP5Lvc,8710000,23814,996,coronavirus whistleblower doctor online hero china
156,"Alexandria Ocasio-Cortez Talks Coronavirus, the 2020 Election and the Youth Vote",751000,Late Night with Seth Meyers,96,377,https://www.youtube.com/watch?v=8_WZym7ZJXE,3480000,16304,822,alexandria ocasiocortez talk coronavirus election youth vote
157,Dems Battle it Out & Trump Cures Coronavirus!,1200000,Jimmy Kimmel Live,144,533,https://www.youtube.com/watch?v=DxB9ItqydK0,16300000,18925,1090,dems battle trump cure coronavirus
158,"Coronavirus: Italy infections jump 50 per cent in 24 hours - as global death toll pass 3,000",790000,Channel 4 News,168,1424,https://www.youtube.com/watch?v=jR7XCdSmtf4,1130000,5400,576,coronavirus italy infection jump per cent hour global death toll pas
159,Coronavirus outbreak: What went wrong in the early days,902000,CBC News: The National,336,533,https://www.youtube.com/watch?v=uE6SXsrspUg,660000,6748,1639,coronavirus outbreak went wrong early day
160,How coronavirus (Covid-19) spread day by day,545000,Channel 4 News,504,707,https://www.youtube.com/watch?v=Zl0V-OhZYk4,1130000,4779,726,coronavirus covid spread day day
161,Iran coronavirus outbreak: Highest death toll outside China,102000,CGTN,168,1193,https://www.youtube.com/watch?v=PljvaUk9oQg,1240000,528,74,iran coronavirus outbreak highest death toll outside china
162,"Coronavirus: W.H.O expert explains mortality rate & threat to kids, after trip to Wuhan",570000,Channel 4 News,120,811,https://www.youtube.com/watch?v=Q2_FkyY3BOM,1130000,5906,786,coronavirus expert explains mortality rate threat kid trip wuhan
163,Coronavirus: Iran and South Korea deploy military | DW News,653000,DW News,144,322,https://www.youtube.com/watch?v=qCteAaPABMM,1060000,5827,293,coronavirus iran south korea deploy military dw news
164,Everything you need to know about coronavirus COVID-19 | 7.30,299000,ABC News (Australia),144,103740,https://www.youtube.com/watch?v=TV20ucwKGmg,922000,1921,294,everything need know coronavirus covid
165,CDC Investigating Possible Coronavirus Outbreak After 1st US Death Reported | Sunday TODAY,350000,TODAY,168,233,https://www.youtube.com/watch?v=Dp-vcNZMLuY,1770000,2375,306,cdc investigating possible coronavirus outbreak st u death reported sunday today
166,Coronavirus outbreak: Be prepared to delay upcoming holidays because of COVID-19,418000,Global News,168,458,https://www.youtube.com/watch?v=YOteXc3EIkY,1210000,2502,405,coronavirus outbreak prepared delay upcoming holiday covid
167,China coronavirus deaths and cases spike - BBC News,1100000,BBC News,504,376,https://www.youtube.com/watch?v=RHl8Lh67bnY,6530000,8870,848,china coronavirus death case spike bbc news
168,Is The US Prepared For A Coronavirus Outbreak? | TODAY,270000,TODAY,168,254,https://www.youtube.com/watch?v=Icr7xADIoas,1770000,1815,168,u prepared coronavirus outbreak today
169,Bats For Sale at Indonesia Market Despite Coronavirus Warning,961000,VOA News,504,182,https://www.youtube.com/watch?v=B_-rbv0tp2k,838000,2906,3685,bat sale indonesia market despite coronavirus warning
170,Patient with coronavirus speaks out,1300000,CBC News,504,630,https://www.youtube.com/watch?v=TAafDOqfN3M,1850000,13263,1651,patient coronavirus speaks
171,How Costco is Handling Panicked Coronavirus Shoppers,1400000,Inside Edition,72,103,https://www.youtube.com/watch?v=CsF6ezLOMC4,7230000,13270,852,costco handling panicked coronavirus shopper
172,Coronavirus outbreak at Washington nursing home raises fear,78000,CBS This Morning,144,176,https://www.youtube.com/watch?v=PubEl8IIzbo,1230000,450,130,coronavirus outbreak washington nursing home raise fear
173,Coronavirus: South Korea has seen its confirmed cases spike - BBC News,1400000,BBC News,336,735,https://www.youtube.com/watch?v=qviEp0Tz6uQ,6530000,10521,756,coronavirus south korea seen confirmed case spike bbc news
174,Robert-Koch-Institut informiert über Corona-Virus,179000,tagesschau,72,405,https://www.youtube.com/watch?v=8gE5-vUDl4g,453000,1762,144,robertkochinstitut informiert ber coronavirus
175,He tested positive for coronavirus.  Hear how he feels now,394000,CNN,96,381,https://www.youtube.com/watch?v=nORRqnxPDcQ,8710000,3791,432,tested positive coronavirus hear feel
176,Italy hit hard by coronavirus outbreak,274000,CBS News,168,271,https://www.youtube.com/watch?v=qga88FlhUQY,2390000,1670,132,italy hit hard coronavirus outbreak
177,What Is Coronavirus?,1500000,QuickTake by Bloomberg,720,137,https://www.youtube.com/watch?v=qO8QWq1K1_c,173000,22016,950,coronavirus
178,Los Angeles County Officials Make Coronavirus Announcement | NBC News (Live Stream Recording),194000,NBC News,120,148140,https://www.youtube.com/watch?v=z66UeY90Dq8,1960000,1083,264,los angeles county official make coronavirus announcement nbc news live stream recording
179,"Coronavirus: WHO Says Death Toll Rising, Expert Says 80% Of Cases ‘Spontaneously Recover’ | NBC News",946000,NBC News,144,579,https://www.youtube.com/watch?v=fbqD5zD-yXg,1960000,6299,785,coronavirus say death toll rising expert say case spontaneously recover nbc news
180,The coronavirus conspiracy: is there a cover-up in China?,439000,Channel 4 News,168,473,https://www.youtube.com/watch?v=rM0S5sc50jA,1130000,4556,607,coronavirus conspiracy coverup china
181,This Couple is Fighting the Coronavirus Side by Side in Wuhan,786000,QuickTake by Bloomberg,168,139,https://www.youtube.com/watch?v=n0y63uG02sY,173000,10075,476,couple fighting coronavirus side side wuhan
182,Coronavirus outbreak panic spreads globally,876000,CBS This Morning,168,345,https://www.youtube.com/watch?v=nMjWwvmvrJI,1230000,7043,823,coronavirus outbreak panic spread globally
183,First Brit to Contract Coronavirus Reveals His Experience | This Morning,346000,This Morning,168,584,https://www.youtube.com/watch?v=QAPKveL6x2E,1660000,3131,249,first brit contract coronavirus reveals experience morning
184,Coronavirus Outbreak - Transmission & Updates Explained,822000,MedCram - Medical Lectures Explained CLEARLY,720,396,https://www.youtube.com/watch?v=9vMXSkKLg2I,572000,10339,432,coronavirus outbreak transmission update explained
185,Italy struggles to contain new coronavirus outbreak l ABC News,456000,ABC News,336,222,https://www.youtube.com/watch?v=nRnf-mHBrF8,7860000,3711,243,italy struggle contain new coronavirus outbreak l abc news
186,Coronavirus: Iran's deputy health minister tests positive as outbreak worsens - BBC News,2200000,BBC News,168,829,https://www.youtube.com/watch?v=VS0cRj3a0Qk,6530000,20184,1180,coronavirus iran deputy health minister test positive outbreak worsens bbc news
187,Coronavirus: un médecin contaminé témoigne,648000,BFMTV,120,173,https://www.youtube.com/watch?v=DaUNp1NWSzQ,621000,8807,554,coronavirus un mdecin contamin tmoigne
188,"Coronavirus Epidemic Update 29: Testing problems, mutations, COVID-19 in Washington & Iran",413000,MedCram - Medical Lectures Explained CLEARLY,144,892,https://www.youtube.com/watch?v=XjEacUyp4vY,572000,8314,209,coronavirus epidemic update testing problem mutation covid washington iran
189,Trump and Dr. Anthony Fauci speak at NIH on coronavirus,110000,CBS News,144,407,https://www.youtube.com/watch?v=N_TVcutvLbo,2390000,673,171,trump dr anthony fauci speak nih coronavirus
190,Officials warn coronavirus will affect more Americans after Chicago woman diagnosed,786000,ABC News,720,220,https://www.youtube.com/watch?v=-S3ED24fbwI,7860000,11292,435,official warn coronavirus affect american chicago woman diagnosed
191,Coronavirus: How could it be stopped? – BBC Newsnight,1100000,BBC Newsnight,720,714,https://www.youtube.com/watch?v=o9lVJ6IlE4k,519000,11088,1035,coronavirus could stopped bbc newsnight
192,Trump attempts to ease coronavirus fears during press conference,1300000,Fox News,168,196440,https://www.youtube.com/watch?v=VdpxKcflza4,4440000,20008,4554,trump attempt ease coronavirus fear press conference
193,Coronavirus now spreading faster outside of China - amid pandemic fears,736000,Channel 4 News,168,1023,https://www.youtube.com/watch?v=04oPyYIj8is,1130000,4990,718,coronavirus spreading faster outside china amid pandemic fear
194,'Coronavirus stabilizing infection rate is not a sign of relief' experts warn | DW News,564000,DW News,720,360,https://www.youtube.com/watch?v=FdNlVbJ4mS8,1060000,5919,635,coronavirus stabilizing infection rate sign relief expert warn dw news
195,Coronavirus: New global outbreaks emerge - BBC News,1900000,BBC News,336,697,https://www.youtube.com/watch?v=HL3TpRQ-oa4,6530000,17894,1606,coronavirus new global outbreak emerge bbc news
196,Pope Francis taken ill as coronavirus sweeps Italy,738000,The Telegraph,168,74,https://www.youtube.com/watch?v=BGW1iL88Fws,927000,4165,1041,pope francis taken ill coronavirus sweep italy
197,Coronavirus | Zondag met Lubach (S11),1100000,vpro zondag met lubach,168,861,https://www.youtube.com/watch?v=O1YZ7XZSPvE,602000,28899,835,coronavirus zondag met lubach
198,Doctor Explains How To Avoid Coronavirus | TODAY,220000,TODAY,144,161,https://www.youtube.com/watch?v=fduo__o4AVY,1770000,2040,91,doctor explains avoid coronavirus today
199,¡El Coronavirus en 4 minutos! - (Actualización) (Animación),411000,Juan Cano MD,168,269,https://www.youtube.com/watch?v=FrlpMx0Kzfw,9270,5042,323,el coronavirus en minutos actualizacin animacin
